,DA Price,Net Load Forecast,System Margin,Day,Hour,Month,DA Price_24,DA Price_144,DA Price_168
2018-12-12 22:00:00,57.32,70437.0,0.967319405331063,2,22,12,57.15000000000001,49.85000000000001,48.39000000000001
2018-12-12 23:00:00,56.78,67282.0,0.9781977949100555,2,23,12,54.330000000000005,41.97,44.56000000000001
2018-12-13 00:00:00,52.57,64544.0,0.9623407294274038,3,0,12,48.70000000000001,36.82000000000001,43.79
2018-12-13 01:00:00,49.82,63608.0,0.9611000284981476,3,1,12,49.01000000000002,33.68000000000001,42.82
2018-12-13 02:00:00,49.05,60169.0,0.927340327415264,3,2,12,48.280000000000015,32.06,42.29000000000001
2018-12-13 03:00:00,48.28,58230.0,0.89507317490657,3,3,12,48.69000000000001,28.990000000000006,42.07000000000001
2018-12-13 04:00:00,51.18,59808.0,0.9027641912853909,3,4,12,52.29000000000001,34.31000000000001,47.70000000000001
2018-12-13 05:00:00,64.41,64937.0,0.927090921131051,3,5,12,66.47000000000003,48.570000000000014,54.04000000000001
2018-12-13 06:00:00,76.99,72315.0,0.9836335537483215,3,6,12,85.05000000000003,63.180000000000014,64.04000000000002
2018-12-13 07:00:00,79.47,75499.0,1.0071082672509306,3,7,12,90.12000000000003,64.62000000000002,67.17000000000002
2018-12-13 08:00:00,78.54,74973.0,0.9920439430513819,3,8,12,89.68000000000004,63.97000000000001,66.95000000000002
2018-12-13 09:00:00,75.37,73978.0,0.9866154906013188,3,9,12,86.88000000000002,56.230000000000004,67.29000000000002
2018-12-13 10:00:00,75.56,72885.0,0.9903507466388848,3,10,12,81.06000000000002,57.300000000000004,67.07
2018-12-13 11:00:00,72.98,71927.0,0.9905748704824917,3,11,12,75.95,51.690000000000005,66.11000000000001
2018-12-13 12:00:00,72.98,71131.0,0.9798923113272069,3,12,12,76.41,50.050000000000004,65.23000000000002
2018-12-13 13:00:00,74.4,69807.0,0.9783669382944479,3,13,12,79.41,48.81000000000002,64.23
2018-12-13 14:00:00,78.77,68328.0,0.9507893704027245,3,14,12,82.24000000000002,46.63000000000002,60.850000000000016
2018-12-13 15:00:00,81.52,68956.0,0.9302123540143721,3,15,12,82.18,50.170000000000016,62.48000000000001
2018-12-13 16:00:00,88.71,72658.0,0.9411934621957971,3,16,12,89.86,60.32000000000002,66.66000000000001
2018-12-13 17:00:00,88.8,76824.0,0.9827452385217028,3,17,12,83.45,61.61000000000001,67.83000000000001
2018-12-13 18:00:00,85.0,77970.0,1.0195723664103473,3,18,12,77.27,51.030000000000015,66.1
2018-12-13 19:00:00,73.78,74636.0,1.0178409511768387,3,19,12,69.99000000000001,52.79000000000001,58.34000000000001
2018-12-13 20:00:00,69.09,70803.0,0.9791715301014188,3,20,12,66.1,47.1,52.99000000000001
2018-12-13 21:00:00,67.33,68920.0,0.9606179429006072,3,21,12,63.45000000000001,45.17000000000001,51.79
2018-12-13 22:00:00,64.57,71746.0,1.0080323421458588,3,22,12,57.320000000000014,40.730000000000004,49.85000000000001
2018-12-13 23:00:00,60.86,69036.0,0.9874868083823307,3,23,12,56.78000000000001,41.51,41.97
2018-12-14 00:00:00,58.62,66452.0,0.9804616103940266,4,0,12,52.570000000000014,20.94,36.82000000000001
2018-12-14 01:00:00,58.05,65922.0,0.9919888943517366,4,1,12,49.82000000000001,19.15,33.68000000000001
2018-12-14 02:00:00,51.19,62641.0,0.9526799141493043,4,2,12,49.05000000000001,13.02,32.06
2018-12-14 03:00:00,50.18,60861.0,0.9209627983323891,4,3,12,48.28000000000001,11.760000000000002,28.990000000000006
2018-12-14 04:00:00,57.09,62624.0,0.9193227232287857,4,4,12,51.180000000000014,9.970000000000004,34.31000000000001
2018-12-14 05:00:00,69.53,67787.0,0.9405144694533762,4,5,12,64.41,17.640000000000004,48.570000000000014
2018-12-14 06:00:00,80.93,75850.0,0.9882721666161156,4,6,12,76.99000000000001,23.7,63.180000000000014
2018-12-14 07:00:00,90.08,79663.0,1.0049850203821031,4,7,12,79.47,29.510000000000005,64.62000000000002
2018-12-14 08:00:00,88.93,79513.0,0.997276269343984,4,8,12,78.54000000000002,29.550000000000008,63.97000000000001
2018-12-14 09:00:00,84.17,78725.0,0.9948910997579995,4,9,12,75.37,28.630000000000006,56.230000000000004
2018-12-14 10:00:00,84.33,77830.0,1.0025789415234263,4,10,12,75.56,28.12,57.300000000000004
2018-12-14 11:00:00,83.3,76862.0,1.008341450013736,4,11,12,72.98,37.53,51.690000000000005
2018-12-14 12:00:00,81.81,75958.0,1.0095266974957673,4,12,12,72.98000000000002,39.660000000000004,50.050000000000004
2018-12-14 13:00:00,83.3,74047.0,0.9957353073012051,4,13,12,74.4,39.85,48.81000000000002
2018-12-14 14:00:00,83.04,72206.0,0.9701290497247541,4,14,12,78.77000000000002,40.05,46.63000000000002
2018-12-14 15:00:00,84.84,72378.0,0.9536854502163394,4,15,12,81.52000000000002,39.35000000000001,50.170000000000016
2018-12-14 16:00:00,97.29,76206.0,0.9703894030483698,4,16,12,88.71000000000001,42.24000000000001,60.32000000000002
2018-12-14 17:00:00,90.0,80539.0,1.0044874851741805,4,17,12,88.80000000000001,46.13,61.61000000000001
2018-12-14 18:00:00,85.15,81245.0,1.0289955811528722,4,18,12,85.0,37.2,51.030000000000015
2018-12-14 19:00:00,76.52,78278.0,1.0401217703536023,4,19,12,73.78000000000002,27.640000000000008,52.79000000000001
2018-12-14 20:00:00,71.28,75262.0,1.027987442388618,4,20,12,69.09,21.310000000000006,47.1
2018-12-14 21:00:00,69.09,73695.0,1.0191117238396454,4,21,12,67.33,24.760000000000005,45.17000000000001
2018-12-14 22:00:00,68.47,76138.0,1.0754099266483403,4,22,12,64.57,29.809999999999995,40.730000000000004
